Price,Living,quality,structure,renovation,condiction,greenspace,Traffic,VIEW,Time,X,Y
12.32829,0.148714,0.209074,0.25,0.5,0.333333,0,0.333333,0.336538,37951,439542.8867,5598242.529
12.534059,0.368753,0.164102,0.5,1,1,0,0.666667,0.019231,37600,435349.9195,5609801.479
12.92147,0.31441,0.090522,0.75,1,0.333333,0,0,0.028846,38135,436882.1112,5605366.512
12.089539,0.102426,0.119324,0.25,0,0.333333,0,0,0.211538,37991,441028.8602,5598450.498
12.314927,0.238476,0.216503,0.25,0,1,0,0.666667,0.096154,37854,434090.7299,5609800.138
12.676076,0.540757,0.365593,0.5,1,1,0,0.333333,0.317308,37812,434935.0292,5607837.595
12.487485,0.319748,0.167203,0.25,1,1,0,0,0.057692,37824,430965.7599,5610224.374
12.025749,0.154779,0.05853,0.25,1,0,0,0,0.25,38118,438349.5879,5609030.282
12.94801,0.390587,0.225565,0.75,1,1,0,0.333333,0.038462,37833,430890.3449,5610183.731
12.604849,0.401262,0.19275,0.5,1,1,0,0,0.086538,37846,433677.7922,5601098.813
12.653958,0.305677,0.180054,0.5,1,1,0.6,0,0.057692,38164,432875.6209,5601419.111
12.579359,0.172489,0.25184,0.25,0.166667,0.333333,0,0.666667,0.480769,38117,435864.9879,5604055.908
12.542188,0.150655,0.278654,0.25,0,1,0,0,0.384615,37743,436218.7299,5607073.419
11.8706,0.128093,0.136658,0.25,0.166667,0.666667,0,0.666667,0.375,37606,437705.6485,5606710.678
12.052339,0.131732,0.131602,0.25,0,0,1,0.333333,0.076923,37734,442638.0801,5594491.372
12.254863,0.244784,0.176387,0.25,1,1,0,0.333333,0.038462,37740,433812.3302,5610402.27
12.305465,0.269772,0.156256,0.25,1,1,0,0.333333,0.038462,37694,433987.9367,5610559.256
12.44509,0.298156,0.232164,0.25,1,1,0,0,0.028846,37870,431160.8567,5608243.745
12.417751,0.347162,0.17202,0.5,1,1,0,1,0.067308,37951,431179.3378,5606440.726
12.06968,0.105774,0.131351,0.25,0.166667,0,0,0,0.057692,37917,430941.3772,5609132.49
12.318857,0.16982,0.157838,0.25,0.166667,0.333333,0,0,0.211538,38145,442718.5094,5593108.787
12.411052,0.328967,0.35309,0.25,0,0.666667,0,0.666667,0.307692,37539,434974.6515,5608111.497
12.421184,0.31441,0.186434,0.5,1,1,0,0,0.028846,37734,431619.9884,5610363.652
12.611538,0.27147,0.295821,0.5,0.166667,1,0,0,0.115385,37775,440718.4636,5596302.577
12.968046,0.406114,0.465943,0.75,1,1,1,0,0.067308,37909,442361.6392,5595186.452
12.092344,0.168122,0.127615,0.25,1,0.333333,0,0,0.028846,37525,433302.7643,5610494.729
12.354493,0.140466,0.268742,0.25,0.166667,0.333333,0,0.666667,0.403846,38147,439167.6303,5597623.953
12.296827,0.25934,0.167936,0.5,1,1,0,0.333333,0.134615,38042,433852.5359,5609663.986
12.669807,0.20427,0.232261,0.5,0.166667,1,0,0.333333,0.096154,37513,441889.2326,5593184.787
13.102161,0.533964,0.397676,0.75,1,1,0.6,0,0.105769,38132,433837.9319,5608845.377
12.661109,0.426735,0.24014,0.5,1,1,0,0,0.009615,38140,431996.5724,5605293.977
12.324908,0.333819,0.208611,0.25,1,1,0,0,0.019231,37602,432109.2419,5605260.7
12.660188,0.200631,0.274711,0.5,0.166667,1,1,0,0.009615,37999,442601.1302,5591933.501
12.391514,0.229985,0.34067,0.5,0.166667,0.666667,0.6,0.333333,0.240385,37441,434264.7925,5608594.533
12.694653,0.362203,0.343339,0.5,1,1,0,0,0.182692,38114,434294.4658,5609066.945
12.437676,0.296943,0.164617,0.25,1,1,0,0,0.009615,38120,432118.5676,5604867.934
12.177529,0.188743,0.111747,0.25,1,0,0,0,0.019231,37488,431097.6205,5609577.01
12.371587,0.420427,0.210425,0.5,1,1,0,0,0.115385,37470,441916.2132,5596161.674
12.441145,0.188258,0.256618,0.25,0.5,0.333333,0,0,0.403846,37448,436296.9307,5606682.545
12.577636,0.20524,0.284893,0.25,0.166667,0.333333,0,0,0.384615,37859,435985.3404,5607081.238
12.296827,0.268316,0.109342,0.25,1,1,0,0,0.028846,37485,431292.3306,5608304.477
12.333053,0.30034,0.171563,0.25,1,1,1,0,0.019231,37749,432282.3097,5605091.5
12.301383,0.291849,0.144524,0.25,1,1,0,0,0.019231,37700,431109.8454,5608086.203
12.506177,0.357108,0.155677,0.5,1,1,0,0,0.019231,38145,433040.9508,5604643.733
12.240474,0.206938,0.155091,0.25,1,1,0,0,0.038462,37623,431114.0324,5610383.496
12.621488,0.124454,0.268633,0.25,0.166667,0.333333,0,0,0.471154,38027,436853.1861,5605383.253
12.345835,0.335274,0.18617,0.25,1,1,0.6,0,0.076923,37772,431506.4258,5609015.053
12.873902,0.283115,0.355354,0.75,0.166667,1,0.6,0,0.067308,37461,430893.3163,5606853.686
12.106252,0.238476,0.089577,0.25,1,0.333333,0,0.333333,0.230769,37929,433773.6514,5608567.428
12.742566,0.337215,0.217043,0.5,1,1,0,0,0.019231,38162,431789.4841,5609685.301
12.60317,0.383552,0.262632,0.5,1,1,0,0,0.134615,37748,434487.4986,5609442.541
12.392552,0.34032,0.285787,0.5,1,1,0,0,0.134615,37841,441374.7277,5596303.199
12.380026,0.066715,0.283812,0,0.166667,0.333333,0,0.666667,0.557692,37635,439145.7529,5604951.976
11.979799,0.169335,0.053127,0.25,1,1,0,0,0.25,38159,432979.449,5608159.951
12.100712,0.226589,0.149554,0.25,1,1,0,0,0.057692,37713,431376.8602,5609052.661
12.25009,0.309801,0.205273,0.25,1,1,0,0,0.125,37895,441335.323,5597947.886
12.257241,0.138768,0.209042,0.25,0.166667,0.333333,0,0,0.432692,38140,437767.8771,5597485.434
12.421184,0.176371,0.227096,0.25,0.166667,0.333333,0,0.666667,0.394231,37896,435972.0275,5606741.655
12.344529,0.263464,0.156449,0.5,1,1,0,0,0.067308,37603,442386.3822,5594079.528
12.230765,0.138525,0.27172,0.25,0.166667,0.333333,0,0,0.413462,37567,438065.1984,5597122.063
12.356646,0.156477,0.245678,0.25,0.166667,0,0,0,0.384615,38113,437764.7369,5606693.139
